[NX Daemon Server] - 2024-10-08T03:04:20.297Z - Started listening on: /var/folders/kt/hq5p3tp50zq8337qzf1_8w_m0000gn/T/2e387e4bf9520597c0b6/d.sock
[NX Daemon Server] - 2024-10-08T03:04:20.300Z - [WATCHER]: Subscribed to changes within: /Users/kb/Desktop/project/subject (native)
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 28
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 29
[NX Daemon Server] - 2024-10-08T03:04:20.397Z - Established a connection. Number of open connections: 30
[NX Daemon Server] - 2024-10-08T03:04:20.397Z - Established a connection. Number of open connections: 31
[NX Daemon Server] - 2024-10-08T03:04:20.397Z - Established a connection. Number of open connections: 32
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 33
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 34
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 35
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 36
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 37
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 38
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 39
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 40
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 41
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 42
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 43
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 44
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 45
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 46
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 47
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 48
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 49
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 50
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 51
[NX Daemon Server] - 2024-10-08T03:04:20.398Z - Established a connection. Number of open connections: 52
[NX Daemon Server] - 2024-10-08T03:04:20.403Z - Established a connection. Number of open connections: 53
[NX Daemon Server] - 2024-10-08T03:04:20.412Z - Established a connection. Number of open connections: 54
[NX Daemon Server] - 2024-10-08T03:04:20.413Z - Established a connection. Number of open connections: 55
[NX Daemon Server] - 2024-10-08T03:04:20.413Z - Established a connection. Number of open connections: 56
[NX Daemon Server] - 2024-10-08T03:04:20.413Z - Established a connection. Number of open connections: 57
[NX Daemon Server] - 2024-10-08T03:04:20.413Z - Established a connection. Number of open connections: 58
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 59
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 60
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 61
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 62
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 63
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 64
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 65
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 66
[NX Daemon Server] - 2024-10-08T03:04:20.414Z - Established a connection. Number of open connections: 67
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 68
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 69
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 70
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 71
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 72
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 73
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 74
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 75
[NX Daemon Server] - 2024-10-08T03:04:20.415Z - Established a connection. Number of open connections: 76
[NX Daemon Server] - 2024-10-08T03:04:20.416Z - Established a connection. Number of open connections: 77
[NX Daemon Server] - 2024-10-08T03:04:20.416Z - Established a connection. Number of open connections: 78
[NX Daemon Server] - 2024-10-08T03:04:20.416Z - Established a connection. Number of open connections: 79
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 80
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 81
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 82
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 83
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 84
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 85
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 86
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 87
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 88
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 89
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 90
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 91
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 92
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 93
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 94
[NX Daemon Server] - 2024-10-08T03:04:20.417Z - Established a connection. Number of open connections: 95
[NX Daemon Server] - 2024-10-08T03:04:20.422Z - Established a connection. Number of open connections: 96
[NX Daemon Server] - 2024-10-08T03:04:20.422Z - Established a connection. Number of open connections: 97
[NX Daemon Server] - 2024-10-08T03:04:20.422Z - Established a connection. Number of open connections: 98
[NX Daemon Server] - 2024-10-08T03:04:20.422Z - Established a connection. Number of open connections: 99
[NX Daemon Server] - 2024-10-08T03:04:20.429Z - Established a connection. Number of open connections: 100
[NX Daemon Server] - 2024-10-08T03:04:20.436Z - Established a connection. Number of open connections: 101
[NX Daemon Server] - 2024-10-08T03:04:20.436Z - Established a connection. Number of open connections: 102
[NX Daemon Server] - 2024-10-08T03:04:20.436Z - Established a connection. Number of open connections: 103
[NX Daemon Server] - 2024-10-08T03:04:20.439Z - Established a connection. Number of open connections: 104
[NX Daemon Server] - 2024-10-08T03:04:20.441Z - Established a connection. Number of open connections: 105
[NX Daemon Server] - 2024-10-08T03:04:20.441Z - Established a connection. Number of open connections: 106
[NX Daemon Server] - 2024-10-08T03:04:20.441Z - Established a connection. Number of open connections: 107
[NX Daemon Server] - 2024-10-08T03:04:20.443Z - Established a connection. Number of open connections: 108
[NX Daemon Server] - 2024-10-08T03:04:20.449Z - Established a connection. Number of open connections: 109
[NX Daemon Server] - 2024-10-08T03:04:20.449Z - Established a connection. Number of open connections: 110
[NX Daemon Server] - 2024-10-08T03:04:20.450Z - Established a connection. Number of open connections: 111
[NX Daemon Server] - 2024-10-08T03:04:20.450Z - Established a connection. Number of open connections: 112
[NX Daemon Server] - 2024-10-08T03:04:20.450Z - Established a connection. Number of open connections: 113
[NX Daemon Server] - 2024-10-08T03:04:20.450Z - Established a connection. Number of open connections: 114
[NX Daemon Server] - 2024-10-08T03:04:20.754Z - Established a connection. Number of open connections: 115
[NX Daemon Server] - 2024-10-08T03:04:20.755Z - Established a connection. Number of open connections: 116
[NX Daemon Server] - 2024-10-08T03:04:20.755Z - Established a connection. Number of open connections: 117
[NX Daemon Server] - 2024-10-08T03:04:20.755Z - Established a connection. Number of open connections: 118
[NX Daemon Server] - 2024-10-08T03:04:20.755Z - Established a connection. Number of open connections: 119
[NX Daemon Server] - 2024-10-08T03:04:20.756Z - Established a connection. Number of open connections: 120
[NX Daemon Server] - 2024-10-08T03:04:20.756Z - Established a connection. Number of open connections: 121
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 122
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 123
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 124
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 125
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 126
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 127
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 128
[NX Daemon Server] - 2024-10-08T03:04:20.757Z - Established a connection. Number of open connections: 129
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 130
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 131
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 132
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 133
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 134
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 135
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 136
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 137
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 138
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 139
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 140
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 141
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 142
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 143
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 144
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 145
[NX Daemon Server] - 2024-10-08T03:04:20.761Z - Established a connection. Number of open connections: 146
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 147
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 148
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 149
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 150
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 151
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 152
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 153
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 154
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 155
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 156
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 157
[NX Daemon Server] - 2024-10-08T03:04:20.762Z - Established a connection. Number of open connections: 158
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 159
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 160
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 161
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 162
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 163
[NX Daemon Server] - 2024-10-08T03:04:20.775Z - Established a connection. Number of open connections: 164
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 165
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 166
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 167
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 168
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 169
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 170
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 171
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 172
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 173
[NX Daemon Server] - 2024-10-08T03:04:20.776Z - Established a connection. Number of open connections: 174
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 175
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 176
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 177
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 178
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 179
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 180
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 181
[NX Daemon Server] - 2024-10-08T03:04:20.777Z - Established a connection. Number of open connections: 182
[NX Daemon Server] - 2024-10-08T03:04:20.778Z - Established a connection. Number of open connections: 183
[NX Daemon Server] - 2024-10-08T03:04:20.787Z - Established a connection. Number of open connections: 184
[NX Daemon Server] - 2024-10-08T03:04:20.787Z - Established a connection. Number of open connections: 185
[NX Daemon Server] - 2024-10-08T03:04:21.268Z - Established a connection. Number of open connections: 186
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 185
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 184
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 183
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 182
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 181
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 180
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 179
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 178
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 177
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 176
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 175
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 174
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 173
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 172
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 171
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 170
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 169
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 168
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 167
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 166
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 165
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 164
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 163
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 162
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 161
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 160
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 159
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 158
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 157
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 156
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 155
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 154
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 153
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 152
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 151
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 150
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 149
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 148
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 147
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 146
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 145
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 144
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 143
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 142
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 141
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 140
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 139
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 138
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 137
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 136
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 135
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 134
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 133
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 132
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 131
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 130
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 129
[NX Daemon Server] - 2024-10-08T03:04:21.270Z - Closed a connection. Number of open connections: 128
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 127
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 126
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 125
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 124
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 123
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 122
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 121
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 120
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 119
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 118
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 117
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 116
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Closed a connection. Number of open connections: 115
[NX Daemon Server] - 2024-10-08T03:04:21.271Z - Established a connection. Number of open connections: 116
[NX Daemon Server] - 2024-10-08T03:04:21.405Z - Closed a connection. Number of open connections: 115
[NX Daemon Server] - 2024-10-08T03:04:21.405Z - Closed a connection. Number of open connections: 114
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 113
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 112
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 111
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 110
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 109
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 108
[NX Daemon Server] - 2024-10-08T03:04:21.417Z - Closed a connection. Number of open connections: 107
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 106
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 105
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 104
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 103
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 102
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 101
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 100
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 99
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 98
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 97
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 96
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 95
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 94
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 93
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 92
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 91
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 90
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 89
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 88
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 87
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 86
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 85
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 84
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 83
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 82
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 81
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 80
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 79
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 78
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 77
[NX Daemon Server] - 2024-10-08T03:04:21.420Z - Closed a connection. Number of open connections: 76
